Dia,Mes,Duracion
1,Ene,9h 21m 00s
2,Ene,9h 21m 44s
3,Ene,9h 22m 33s
4,Ene,9h 23m 24s
5,Ene,9h 24m 20s
6,Ene,9h 25m 20s
7,Ene,9h 26m 23s
8,Ene,9h 27m 29s
9,Ene,9h 28m 39s
10,Ene,9h 29m 51s
11,Ene,9h 31m 08s
12,Ene,9h 32m 28s
13,Ene,9h 33m 51s
14,Ene,9h 35m 17s
15,Ene,9h 36m 47s
16,Ene,9h 38m 18s
17,Ene,9h 39m 54s
18,Ene,9h 41m 31s
19,Ene,9h 43m 11s
20,Ene,9h 44m 54s
21,Ene,9h 46m 41s
22,Ene,9h 48m 28s
23,Ene,9h 50m 20s
24,Ene,9h 52m 12s
25,Ene,9h 54m 08s
26,Ene,9h 56m 06s
27,Ene,9h 58m 06s
28,Ene,10h 00m 07s
29,Ene,10h 02m 11s
30,Ene,10h 04m 18s
31,Ene,10h 06m 25s
1,Feb,10h 08m 34s
2,Feb,10h 10m 46s
3,Feb,10h 12m 59s
4,Feb,10h 15m 14s
5,Feb,10h 17m 29s
6,Feb,10h 19m 47s
7,Feb,10h 22m 07s
8,Feb,10h 24m 27s
9,Feb,10h 26m 49s
10,Feb,10h 29m 11s
11,Feb,10h 31m 36s
12,Feb,10h 34m 00s
13,Feb,10h 36m 27s
14,Feb,10h 38m 54s
15,Feb,10h 41m 23s
16,Feb,10h 43m 52s
17,Feb,10h 46m 22s
18,Feb,10h 48m 53s
19,Feb,10h 51m 26s
20,Feb,10h 53m 58s
21,Feb,10h 56m 32s
22,Feb,10h 59m 06s
23,Feb,11h 01m 40s
24,Feb,11h 04m 16s
25,Feb,11h 06m 52s
26,Feb,11h 9m 28s
27,Feb,11h 12m 05s
28,Feb,11h 14m 43s
1,Mar,11h 17m 21s
2,Mar,11h 19m 59s
3,Mar,11h 22m 38s
4,Mar,11h 25m 17s
5,Mar,11h 27m 56s
6,Mar,11h 30m 36s
7,Mar,11h 33m 16s
8,Mar,11h 35m 56s
9,Mar,11h 38m 37s
10,Mar,11h 41m 18s
11,Mar,11h 43m 59s
12,Mar,11h 46m 39s
13,Mar,11h 49m 20s
14,Mar,11h 52m 02s
15,Mar,11h 54m 43s
16,Mar,11h 57m 24s
17,Mar,12h 00m 06s
18,Mar,12h 02m 47s
19,Mar,12h 05m 29s
20,Mar,12h 08m 11s
21,Mar,12h 10m 52s
22,Mar,12h 13m 34s
23,Mar,12h 16m 14s
24,Mar,12h 18m 56s
25,Mar,12h 21m 36s
26,Mar,12h 24m 18s
27,Mar,12h 26m 58s
28,Mar,12h 29m 39s
29,Mar,12h 32m 20s
30,Mar,12h 35m 00s
31,Mar,12h 37m 40s
1,Abr,12h 40m 20s
2,Abr,12h 42m 59s
3,Abr,12h 45m 38s
4,Abr,12h 48m 17s
5,Abr,12h 50m 55s
6,Abr,12h 53m 33s
7,Abr,12h 56m 11s
8,Abr,12h 58m 48s
9,Abr,13h 01m 25s
10,Abr,13h 04m 01s
11,Abr,13h 06m 37s
12,Abr,13h 9m 12s
13,Abr,13h 11m 47s
14,Abr,13h 14m 21s
15,Abr,13h 16m 55s
16,Abr,13h 19m 28s
17,Abr,13h 21m 59s
18,Abr,13h 24m 31s
19,Abr,13h 27m 01s
20,Abr,13h 29m 31s
21,Abr,13h 32m 00s
22,Abr,13h 34m 28s
23,Abr,13h 36m 55s
24,Abr,13h 39m 21s
25,Abr,13h 41m 47s
26,Abr,13h 44m 11s
27,Abr,13h 46m 34s
28,Abr,13h 48m 56s
29,Abr,13h 51m 17s
30,Abr,13h 53m 37s
1,May,13h 55m 55s
2,May,13h 58m 12s
3,May,14h 00m 28s
4,May,14h 02m 42s
5,May,14h 04m 55s
6,May,14h 07m 06s
7,May,14h 9m 17s
8,May,14h 11m 24s
9,May,14h 13m 31s
10,May,14h 15m 36s
11,May,14h 17m 38s
12,May,14h 19m 39s
13,May,14h 21m 38s
14,May,14h 23m 35s
15,May,14h 25m 31s
16,May,14h 27m 23s
17,May,14h 29m 14s
18,May,14h 31m 03s
19,May,14h 32m 50s
20,May,14h 34m 34s
21,May,14h 36m 15s
22,May,14h 37m 54s
23,May,14h 39m 30s
24,May,14h 41m 04s
25,May,14h 42m 35s
26,May,14h 44m 04s
27,May,14h 45m 30s
28,May,14h 46m 53s
29,May,14h 48m 13s
30,May,14h 49m 30s
31,May,14h 50m 44s
1,Jun,14h 51m 55s
2,Jun,14h 53m 03s
3,Jun,14h 54m 08s
4,Jun,14h 55m 9s
5,Jun,14h 56m 08s
6,Jun,14h 57m 03s
7,Jun,14h 57m 54s
8,Jun,14h 58m 42s
9,Jun,14h 59m 27s
10,Jun,15h 00m 9s
11,Jun,15h 00m 46s
12,Jun,15h 01m 20s
13,Jun,15h 01m 51s
14,Jun,15h 02m 18s
15,Jun,15h 02m 42s
16,Jun,15h 03m 01s
17,Jun,15h 03m 18s
18,Jun,15h 03m 30s
19,Jun,15h 03m 39s
20,Jun,15h 03m 44s
21,Jun,15h 03m 45s
22,Jun,15h 03m 44s
23,Jun,15h 03m 37s
24,Jun,15h 03m 28s
25,Jun,15h 03m 15s
26,Jun,15h 02m 58s
27,Jun,15h 02m 38s
28,Jun,15h 02m 13s
29,Jun,15h 01m 46s
30,Jun,15h 01m 15s
1,Jul,15h 00m 40s
2,Jul,15h 00m 01s
3,Jul,14h 59m 20s
4,Jul,14h 58m 35s
5,Jul,14h 57m 45s
6,Jul,14h 56m 54s
7,Jul,14h 55m 59s
8,Jul,14h 55m 00s
9,Jul,14h 53m 58s
10,Jul,14h 52m 54s
11,Jul,14h 51m 45s
12,Jul,14h 50m 34s
13,Jul,14h 49m 20s
14,Jul,14h 48m 04s
15,Jul,14h 46m 44s
16,Jul,14h 45m 21s
17,Jul,14h 43m 55s
18,Jul,14h 42m 27s
19,Jul,14h 40m 56s
20,Jul,14h 39m 23s
21,Jul,14h 37m 46s
22,Jul,14h 36m 08s
23,Jul,14h 34m 27s
24,Jul,14h 32m 44s
25,Jul,14h 30m 58s
26,Jul,14h 29m 10s
27,Jul,14h 27m 21s
28,Jul,14h 25m 28s
29,Jul,14h 23m 34s
30,Jul,14h 21m 38s
31,Jul,14h 19m 41s
1,Ago,14h 17m 40s
2,Ago,14h 15m 39s
3,Ago,14h 13m 35s
4,Ago,14h 11m 30s
5,Ago,14h 9m 24s
6,Ago,14h 07m 15s
7,Ago,14h 05m 06s
8,Ago,14h 02m 54s
9,Ago,14h 00m 42s
10,Ago,13h 58m 28s
11,Ago,13h 56m 12s
12,Ago,13h 53m 56s
13,Ago,13h 51m 38s
14,Ago,13h 49m 19s
15,Ago,13h 46m 59s
16,Ago,13h 44m 38s
17,Ago,13h 42m 15s
18,Ago,13h 39m 52s
19,Ago,13h 37m 28s
20,Ago,13h 35m 03s
21,Ago,13h 32m 37s
22,Ago,13h 30m 11s
23,Ago,13h 27m 42s
24,Ago,13h 25m 14s
25,Ago,13h 22m 45s
26,Ago,13h 20m 15s
27,Ago,13h 17m 45s
28,Ago,13h 15m 14s
29,Ago,13h 12m 42s
30,Ago,13h 10m 10s
31,Ago,13h 07m 37s
1,Sep,13h 05m 03s
2,Sep,13h 02m 29s
3,Sep,12h 59m 56s
4,Sep,12h 57m 21s
5,Sep,12h 54m 45s
6,Sep,12h 52m 10s
7,Sep,12h 49m 34s
8,Sep,12h 46m 57s
9,Sep,12h 44m 21s
10,Sep,12h 41m 44s
11,Sep,12h 39m 07s
12,Sep,12h 36m 30s
13,Sep,12h 33m 52s
14,Sep,12h 31m 14s
15,Sep,12h 28m 36s
16,Sep,12h 25m 58s
17,Sep,12h 23m 19s
18,Sep,12h 20m 40s
19,Sep,12h 18m 02s
20,Sep,12h 15m 23s
21,Sep,12h 12m 44s
22,Sep,12h 10m 06s
23,Sep,12h 07m 26s
24,Sep,12h 04m 48s
25,Sep,12h 02m 9s
26,Sep,11h 59m 29s
27,Sep,11h 56m 50s
28,Sep,11h 54m 12s
29,Sep,11h 51m 32s
30,Sep,11h 48m 54s
1,Oct,11h 46m 15s
2,Oct,11h 43m 37s
3,Oct,11h 40m 58s
4,Oct,11h 38m 20s
5,Oct,11h 35m 42s
6,Oct,11h 33m 04s
7,Oct,11h 30m 27s
8,Oct,11h 27m 49s
9,Oct,11h 25m 12s
10,Oct,11h 22m 35s
11,Oct,11h 19m 58s
12,Oct,11h 17m 23s
13,Oct,11h 14m 47s
14,Oct,11h 12m 12s
15,Oct,11h 9m 37s
16,Oct,11h 07m 03s
17,Oct,11h 04m 29s
18,Oct,11h 01m 56s
19,Oct,10h 59m 23s
20,Oct,10h 56m 50s
21,Oct,10h 54m 20s
22,Oct,10h 51m 49s
23,Oct,10h 49m 18s
24,Oct,10h 46m 49s
25,Oct,10h 44m 20s
26,Oct,10h 41m 53s
27,Oct,10h 39m 26s
28,Oct,10h 37m 00s
29,Oct,10h 34m 36s
30,Oct,10h 32m 12s
31,Oct,10h 29m 49s
1,Nov,10h 27m 28s
2,Nov,10h 25m 08s
3,Nov,10h 22m 48s
4,Nov,10h 20m 30s
5,Nov,10h 18m 14s
6,Nov,10h 15m 59s
7,Nov,10h 13m 45s
8,Nov,10h 11m 32s
9,Nov,10h 9m 22s
10,Nov,10h 07m 14s
11,Nov,10h 05m 07s
12,Nov,10h 03m 01s
13,Nov,10h 00m 57s
14,Nov,9h 58m 56s
15,Nov,9h 56m 56s
16,Nov,9h 54m 58s
17,Nov,9h 53m 04s
18,Nov,9h 51m 10s
19,Nov,9h 49m 19s
20,Nov,9h 47m 31s
21,Nov,9h 45m 44s
22,Nov,9h 44m 01s
23,Nov,9h 42m 19s
24,Nov,9h 40m 42s
25,Nov,9h 39m 05s
26,Nov,9h 37m 33s
27,Nov,9h 36m 03s
28,Nov,9h 34m 36s
29,Nov,9h 33m 12s
30,Nov,9h 31m 50s
1,Dic,9h 30m 33s
2,Dic,9h 29m 18s
3,Dic,9h 28m 07s
4,Dic,9h 26m 59s
5,Dic,9h 25m 54s
6,Dic,9h 24m 53s
7,Dic,9h 23m 56s
8,Dic,9h 23m 01s
9,Dic,9h 22m 11s
10,Dic,9h 21m 24s
11,Dic,9h 20m 41s
12,Dic,9h 20m 02s
13,Dic,9h 19m 27s
14,Dic,9h 18m 56s
15,Dic,9h 18m 28s
16,Dic,9h 18m 05s
17,Dic,9h 17m 45s
18,Dic,9h 17m 30s
19,Dic,9h 17m 18s
20,Dic,9h 17m 10s
21,Dic,9h 17m 06s
22,Dic,9h 17m 06s
23,Dic,9h 17m 11s
24,Dic,9h 17m 19s
25,Dic,9h 17m 31s
26,Dic,9h 17m 47s
27,Dic,9h 18m 08s
28,Dic,9h 18m 32s
29,Dic,9h 19m 01s
30,Dic,9h 19m 32s
31,Dic,9h 20m 08s
